age_origin,count_origin
-2,1
-1,2
0,57
1,385
2,6
3,4
4,5
5,3
6,8
7,9
8,6
9,2
10,4
11,9
12,15
13,23
14,61
15,2366
16,2142
17,4069
18,6963
19,8667
20,9917
21,10320
22,10010
23,9815
24,8756
25,7828
26,6760
27,5830
28,5767
29,4606
30,4907
31,3654
32,2829
33,2231
34,1958
35,1874
36,1853
37,1511
38,1138
39,1166
40,1048
41,907
42,813
43,687
44,637
45,548
46,470
47,420
48,355
49,256
50,230
51,126
52,93
53,103
54,103
55,91
56,60
57,24
58,26
59,16
60,19
61,27
62,15
63,16
64,13
65,11
66,8
67,7
68,6
69,2
70,6
71,2
72,1
73,2
74,1
75,2
77,2
78,1
79,2
80,20
84,1
113,1
116,1
