origin_bmi,predict_bmi
22,22
16,19
18,21
17,21
22,24
28,21
20,21
18,22
20,21
21,23
17,23
21,22
21,23
22,23
20,23
20,21
19,21
19,25
19,20
21,24
23,22
16,21
26,22
17,22
21,22
22,21
19,22
18,22
18,22
21,22
23,21
32,22
32,22
27,22
19,19
19,21
20,21
21,22
17,23
19,21
18,20
24,23
18,20
19,22
22,22
18,21
20,21
18,24
17,21
26,21
20,21
23,23
16,22
24,23
26,22
22,23
20,21
18,21
19,22
19,21
19,23
21,21
19,23
23,21
23,22
20,21
18,22
25,22
18,20
23,21
17,21
19,22
22,22
20,21
18,22
19,20
22,22
26,22
20,21
16,22
23,24
20,20
18,21
20,20
22,21
28,23
18,22
26,22
24,23
26,24
22,21
22,21
18,21
19,23
23,21
21,20
22,20
21,22
22,22
19,23
24,21
19,21
18,22
21,21
19,22
21,20
20,24
21,23
22,22
25,23
20,23
20,20
22,24
22,21
21,24
20,21
19,21
21,20
23,22
20,21
24,22
22,21
16,21
20,21
31,22
27,23
23,23
26,21
23,21
22,21
20,21
27,21
21,21
21,22
22,23
20,21
18,22
27,22
23,23
19,22
20,22
21,22
22,23
18,20
25,23
21,24
20,21
17,20
19,22
21,22
21,21
26,20
19,22
25,22
16,21
18,23
16,21
21,22
21,21
19,21
23,22
18,21
27,22
17,21
23,21
23,22
19,22
19,22
33,21
20,21
24,21
17,20
22,21
23,22
23,23
17,21
18,20
17,23
21,20
19,20
20,22
18,23
16,22
19,20
30,24
24,22
15,22
24,21
20,21
20,22
19,21
24,21
17,21
17,22
16,20
16,22
30,22
20,20
28,20
18,24
16,20
19,21
22,23
18,20
22,22
17,23
19,20
27,23
23,22
29,22
19,22
23,21
22,21
18,22
21,21
18,22
23,21
18,21
17,22
21,21
18,23
21,21
20,21
21,23
19,21
19,22
18,21
35,21
23,22
22,22
23,23
20,22
20,22
20,23
22,23
17,20
19,21
21,23
28,22
21,21
18,22
20,21
21,21
20,21
20,22
21,22
20,24
35,21
17,22
20,22
20,21
18,21
25,20
36,25
20,21
30,23
20,20
22,22
17,22
24,22
20,21
24,22
23,22
22,21
19,22
21,22
15,21
19,24
16,22
24,21
19,21
17,23
31,25
17,21
27,23
20,20
26,22
21,22
20,23
22,22
23,22
31,21
19,21
22,21
31,22
20,23
20,21
27,21
19,21
20,22
17,22
23,21
24,21
36,24
23,21
22,21
18,21
18,21
20,23
18,22
20,21
17,21
20,22
20,22
17,21
18,21
26,24
20,21
17,21
22,21
23,24
31,23
29,24
29,22
21,22
22,22
18,21
30,24
29,22
17,22
21,20
19,21
23,23
21,22
23,23
22,22
18,23
19,20
18,20
16,22
22,22
20,23
17,21
22,21
20,22
20,22
20,21
21,22
27,20
21,22
18,21
18,21
19,22
24,23
25,23
23,21
22,22
21,23
20,20
19,21
19,22
29,22
22,21
21,22
17,20
16,21
21,21
21,21
22,20
26,22
18,21
31,22
19,21
24,22
19,20
18,22
19,21
20,22
30,22
23,21
25,22
32,20
19,21
21,22
20,22
18,22
25,23
21,21
18,22
25,22
31,22
26,23
23,21
28,23
21,23
21,21
24,23
16,21
23,22
20,21
21,22
22,20
23,22
20,22
24,21
27,21
20,20
29,24
28,20
19,23
25,22
30,23
27,21
25,20
18,22
18,22
20,21
18,22
21,21
20,21
20,21
26,23
22,21
18,22
23,24
24,21
24,22
21,21
23,21
29,23
18,21
26,23
18,21
23,21
22,22
22,22
22,21
26,23
23,22
29,22
24,20
17,20
22,22
18,21
23,22
23,21
20,23
18,22
21,22
17,21
21,21
20,22
17,22
22,22
23,20
19,22
23,23
24,21
17,21
26,22
24,22
22,22
19,22
24,22
18,21
25,22
22,21
16,21
24,21
23,22
26,24
23,20
27,22
21,21
22,23
19,22
21,22
20,21
21,20
29,23
27,21
31,25
20,21
19,22
22,22
19,20
24,22
22,22
23,20
18,22
20,23
20,22
23,23
20,21
17,21
20,22
20,21
16,25
16,21
23,22
18,21
22,21
17,21
19,21
23,21
18,20
23,22
19,21
22,21
19,20
27,22
25,22
16,21
29,22
19,22
22,22
23,24
23,22
24,22
30,22
17,22
19,22
33,22
36,22
22,21
26,23
18,22
19,21
21,22
18,21
24,22
18,22
20,21
17,21
24,23
19,22
31,22
31,21
22,23
20,23
21,21
26,23
20,21
26,22
23,23
30,22
22,22
24,20
24,21
21,23
23,21
18,20
27,23
19,21
17,20
20,21
19,21
19,21
24,22
24,22
19,22
17,21
18,20
20,22
22,22
24,19
32,24
21,21
23,21
22,22
18,22
31,22
18,20
37,22
23,20
18,23
17,20
24,21
27,22
19,22
21,22
22,23
28,22
16,23
21,22
18,21
23,23
22,20
20,22
20,22
19,21
21,20
20,21
20,21
27,22
23,21
18,20
22,22
22,22
29,24
28,22
20,21
26,22
22,21
22,21
19,22
22,23
18,21
22,21
17,20
20,20
19,21
25,22
20,22
24,24
18,22
35,23
28,20
20,20
17,22
23,22
21,21
22,22
23,24
22,20
20,22
19,21
20,21
21,21
18,22
19,21
26,22
24,22
19,20
22,22
19,22
22,21
22,23
23,22
20,23
21,22
18,22
30,22
16,22
28,24
18,21
18,21
19,21
20,21
19,21
20,20
18,20
20,22
24,23
25,21
23,21
27,21
